etab										
--Well	date	PERF	       MDL	MDU	    RAD	SKIN	MULT			
10307	01.07.2000	PERF	1393	1398	0.073	0	1	/	CIII; 	
10307	01.07.2000	PERF	1385.9	1387.9	0.073	0	1	/	CI; 	
10311	01.07.2000	PERF	1412.5	1414.3	0.073	0	1	/	CI;	
10311	01.07.2000	PERF	1418.6	1424.5	0.073	0	1	/	CIII;	
1407	01.07.1983	PERF	1489	1490	0.073	0	1	/	CI; 	
1407	01.07.1983	PERF	1492.8	1494	0.073	0	1	/ 	CII;	
1407	01.07.1983	PERF	1497.2	1498.8	0.073	0	1	/ 	CIII;	
1412	01.10.1983	PERF	1340	1341.6	0.073	0	1	/ 	CIII;	
1416	01.09.1967	PERF	1286.8	1290.8	0.066	0	1	/ 	CIII;	
1417	01.01.1968	PERF	1286.2	1288.8	0.073	0	1	/	#»ћя?	
1417	01.01.1968	PERF	1290.2	1292	0.073	0	1	/	CIII;--не открыт	
1417	01.01.1969	PERF	1290.2	1292	0.073	0	0	/	CIII; --изол€ци€ -- не открыт	
1417	01.01.1969	PERF	1286.2	1288.8	0.073	0	0	/	#»ћя?	
1418	01.08.1969	PERF	1301.4	1303	0.073	0	1	/ 	CI;	
1418	01.08.1969	PERF	1309.2	1310	0.073	0	1	/	CIII;	
1419	01.08.1968	PERF	1300.4	1301.6	0.073	0	1	/ 	CII;	
1419	01.08.1968	PERF	1296.8	1298	0.073	0	1	/	CI;	
1419	01.09.1992	PERF	1304	1305.4	0.073	0	1	/	CIII ѕ–»ќЅў≈Ќ»≈;	
1420	01.02.1968	PERF	1299.2	1300.4	0.073	0	1	/	CII;	
1420	01.02.1968	PERF	1303.2	1304.4	0.073	0	1	/	CIII;	
1426	01.06.1968	PERF	1308.8	1315.4	0.073	0	1	/	CIII;	
1426	01.06.1968	PERF	1317.8	1319.4	0.073	0	1	/	CIII ниже;	
1427	01.04.1968	PERF	1277.8	1282.8	0.073	0	1	/	CIII; --не открыт	
1427	01.08.2002	PERF	1084	1091	0.073	0	1	/		
1427	01.08.2002	PERF	1277.8	1282.8	0.073	0	0	/	CIII изол€ци€; --не открыт	
1427	01.08.2002	PERF	1009	1014	0.073	0	1	/	ѕ≈–≈’ќƒ;	
1428	01.11.1968	PERF	1280	1281.6	0.073	0	1	/	CI;	
1428	01.11.1968	PERF	1286	1288.8	0.073	0	1	/	CII, CIII;	
1431	01.03.1968	PERF	1313.6	1321.6	0.073	0	1	/	CII, CIII;	
